http://realec.org/index.xhtml#/exam/exam2017_1/ABl_9_1; Category_confusion;  The biggest dinamic of rate of people, who can not find a job happened in Middle East and the difference between 2014 and 2015 year was 1,4%.; dinamic; dynamics
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_9_1; Category_confusion; 
There is no one main trend of changing of unemployment rate in all regions during the selected period (2014-2015).; changing of; changes in
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_9_2; Category_confusion;  Secondary, investors are not interested in activities, where they pay a huge amounts of money and other people just “steal” their production and money.; Secondary; Secondly
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_9_2; Category_confusion;  Investors prefer to avoied such spheras where pirates can use special programmes and steal everything so easy.; easy; easily
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_8_2; Category_confusion; 
The first part of peoples says that punishment is necessory for pirates.; punishment; punishing
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_8_1; Category_confusion;  In Middle East and Latin America we see the decreasing of unemployment for 1,4 per cent in the first case and for 1 per cent in Latin America case.; decreasing; decrease
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_8_1; Category_confusion;  When we indicate the increasing of unemployment is EU: unemployment increase for 0,4 per cent here.; increasing; increase
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_8_1; Category_confusion;  But in 2014 unemployment in Latin America was higher then Worldwide level, and the next year this region have approximately the same per cent.; per cent; percentage
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_6_2; Category_confusion;  However, it seem to me that in the nearest future all information will be accessed for free without punishing people who want to be free-riders.; accessed; accessible
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_12_2; Category_confusion;  In this way, the musicians and film producers should make qualitative content.; qualitative; quality
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_4_1; Category_confusion; 
The middle east shows the dicreasing of unemployment rate from 11 to 9,6 procent.; dicreasing of; decrease in
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_4_1; Category_confusion;  On the other hand, latin America demonstrated significant changing from 6,8 to 5,8 procent.; changing; changes
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_10_2; Category_confusion;  Secondly, it is bad for the governments economies because the illegal spreading of that content cannot be taxated.; taxated; taxed
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_10_2; Category_confusion;  Some people think that every person in the world should be able to find all the content he or her needs for free.; her; she
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_12_1; Category_confusion;  To the other regions the percentage of unemployment is erratic.; unemployment; the unemployed
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_4_2; Category_confusion;  They spend money for this and after that they do sharing for free.; do sharing; share the content
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_2_1; Category_confusion; The bar chart shows the difference in dynamics of changing in unemployment across several world regions in 2014 and 2015.; changing; changes
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_2_2; Category_confusion; 
Secondly, modern market moves in the direction of micro transactions, instead of simple selling the product.; simple; simply
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_2_2; Category_confusion; 
Taking everything into consideration, my disagreement with the punishing of the people, who copying and sharing music or films illegally, can be explained by the influence of the Internet on the modern market system.; punishing; punishment
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_14_1; Category_confusion;  The highest changing in the rate of unemployment shows Middle East with 1,4 reduction of the rate.; changing; change
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_14_1; Category_confusion;  Also Latin America demonstrate positive changing in the rate of unemployment during that period with 1 procent down.; changing; changes
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_14_1; Category_confusion;  Only in the European Union the rising of the rate of unemployment was captured during that period of time.; the rising of the rate of unemployment; the rise of the rate of unemployment
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_7_1; Category_confusion;  There is a positive trend in decreasing the unemployment from 11% in 2014 to 9,6 on 2015.; decreasing; a decrease in
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_7_1; Category_confusion;  Although this level is still not quite , comparing to previous ones.; comparing; compared
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_5_2; Category_confusion;  Secondly, pirate copies usually have bad quality and viruses inside them, which can lead to breakaning computers and stealing money and personal information.; breakaning; breakdown of
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_7_2; Category_confusion;  In second case, consumer doesn’t get any commercial profit from using the pirate content, so it could not be called a criminality, because the aim of such use is not a violating of property rights, but just baring enjoyment from the piece of art.; criminality; crime
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_7_2; Category_confusion;  In second case, consumer doesn’t get any commercial profit from using the pirate content, so it could not be called a criminality, because the aim of such use is not a violating of property rights, but just baring enjoyment from the piece of art.; a violating of; violating 
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_5_1; Category_confusion;  For example, the unemployment rate in Middle East dropped down from 11 to 3,6 percent while EU experienced the growing of unemployment rate from 7,5 to 7,9 percent when can be considered as outcomes of some not relevant economic decisions.; the growing; the growth
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_3_2; Category_confusion; 
It can be agreed with the statement about getting punishment both for hackers and people using pirat’s copies.; pirat; pirate
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_3_2; Category_confusion;  Beside this, people often don’t want to buy expensive legal discs and films and that is why they download pirat’s versions because of a special aim not to spend a lot of money for these media products.; pirat; pirate
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_3_2; Category_confusion;  Moreover, there is tend to share of musical products in the Internet with friends and relatives.; tend; a tendency
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_3_2; Category_confusion; 
In conclusion I want to say that, of courses, all crime-makers should be punished especially how in situation that pirat’s copies are world-spread.; pirat; pirate
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_3_2; Category_confusion;  Beside this, people often don’t want to buy expensive legal discs and films and that is why they download pirat’s versions because of a special aim not to spend a lot of money for these media products.; Beside; Besides
http://realec.org/index.xhtml#/exam/exam2017_1/ABL_1_2; Category_confusion; The issue of “content pirates” is the huge problem for modern ethics and law.; pirates; content piracy
http://realec.org/index.xhtml#/exam/exam2017_1/ABL_1_2; Category_confusion;  The attitude to sharing information in XXI century may be under influence of different points of view.; under influence of; influenced by
http://realec.org/index.xhtml#/exam/exam2017_1/ABL_1_2; Category_confusion;  As usual, the producers say “no”.; As usual; Usually
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_15_2; Category_confusion;  
On the one hand it is a really problem, because people always download music and films free for a long time.; really; real
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_15_2; Category_confusion;  There are a lot of new films and some people have not money to buy it.; not; no
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_15_2; Category_confusion; 
It is likely to think for people that free music and films in the internet is a better way than buy it.; buy; buying
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_3_1; Category_confusion; 
In the table there are 5 world regions which were used for measuring of unemployment.; measuring of; was measured
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_3_1; Category_confusion;  The high of every vertical stable helps us to compare marcs for 2014 and 2015.; high; height
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_3_1; Category_confusion;  Every region shows increasing or the same level of unemployment excepting Europe.; excepting; except
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_3_1; Category_confusion;  That mean we see stable situation in the world and there are no reasons for concerning.; concerning; concern
http://realec.org/index.xhtml#/exam/exam2017_1/ABl_3_1; Category_confusion;  But EU stable gives another effect.; EU stable; stability of the EU
http://realec.org/index.xhtml#/exam/exam2017_2/ABl_47_1; Category_confusion; The chart show amount of unemployment people from 2014 to 2015 in N.; unemployment; unemployed
